aticker,coname,fmonth,fyear,che,ibd,teq,sale,oiadp,ni,dp,amort,avg_annual_mktcap,ticker
A000880,한화,12.0,2023,4909149000000.0,19487463000000.0,33198739000000.0,53134813000000.0,2411920000000.0,1635515000000.0,1319019000000.0,234614000000.0,2018776000000.0,880
A001440,대한전선,12.0,2023,289331472000.0,418895997000.0,953285756000.0,2843980012000.0,79823888000.0,71872998000.0,22899000000.0,617000000.0,1706173000000.0,1440
A051600,한전KPS,12.0,2023,49082350000.0,8068242000.0,1272596407940.0,1533850791490.0,199376381250.0,162677361130.0,49654667990.0,2254313660.0,1544501000000.0,51600
A214450,파마리서치,12.0,2023,67244840000.0,34306686360.0,462194597080.0,261010910560.0,92257786630.0,77264652450.0,8446512560.0,3549083870.0,1100403000000.0,214450
A002380,KCC,12.0,2023,1045142107000.0,5300476431380.0,5447529409510.0,6288442613710.0,312530203930.0,92502625100.0,397004668750.0,46594590760.0,1978836000000.0,2380
A030000,제일기획,12.0,2023,607166631000.0,172709116140.0,1297763755810.0,4138274796030.0,307522766410.0,190121613120.0,65968509000.0,9014464000.0,2251653000000.0,30000
A005070,코스모신소재,12.0,2023,60397392000.0,56296000930.0,478782330140.0,629578773080.0,32324547760.0,27036287900.0,15762909170.0,204132870.0,4621072000000.0,5070
A004370,농심,12.0,2023,142899538000.0,61063873330.0,2440801761170.0,3410559367250.0,212064743460.0,171469224870.0,114748063000.0,3307452000.0,2469987000000.0,4370
A017800,현대엘리베이,12.0,2023,387608846000.0,917799632560.0,1371566725000.0,2602099211880.0,82620342530.0,309851270440.0,48624269000.0,0.0,1537521000000.0,17800
A489790,한화인더스트리얼솔루션즈,12.0,2023,,,,,,,,,,489790
A278470,에이피알,12.0,2023,125334572000.0,22238802240.0,196948868770.0,523809364550.0,104193724870.0,81546050950.0,13479496600.0,443696190.0,,278470
A383220,F&F,12.0,2023,219989971000.0,259357093360.0,1317741413510.0,1978495535890.0,551835228990.0,425017760530.0,66513644000.0,7307478000.0,4573380000000.0,383220
A204320,HL만도,12.0,2023,614874984000.0,2156325411660.0,2356155155910.0,8393086800920.0,279276996280.0,154600073670.0,289512635000.0,32272524000.0,2052218000000.0,204320
A028670,팬오션,12.0,2023,952781000000.0,2436820000000.0,4713351000000.0,4360982000000.0,385854000000.0,245041000000.0,489507000000.0,754000000.0,2717555000000.0,28670
A012510,더존비즈온,12.0,2023,54090927000.0,278899240500.0,445338536210.0,353562627170.0,69070239680.0,34328701390.0,25772967840.0,10989809270.0,968070000000.0,12510
A361610,SK아이이테크놀로지,12.0,2023,538288578000.0,1417613527000.0,2411660766000.0,649568305000.0,32027920000.0,82158002000.0,148982969000.0,5935867000.0,5614933000000.0,361610
A041510,에스엠,12.0,2023,303139917000.0,143293889880.0,909398072970.0,961069716540.0,113463014400.0,82683480180.0,29791655000.0,28221539000.0,2607824000000.0,41510
A282330,BGF리테일,12.0,2023,302293601000.0,890331414000.0,1074453047720.0,8194753978890.0,253187753630.0,195844952000.0,467291000000.0,10255000000.0,2888550000000.0,282330
A018670,SK가스,12.0,2023,493752033000.0,2837610543160.0,2588305767500.0,6992257390850.0,303595468730.0,316290608460.0,98726910000.0,8981165000.0,1210952000000.0,18670
